id_cliente,ingreso_mensual_fijo,ingreso_mensual_variable,ingreso_mensual,gastos_esenciales_mensuales,gastos_no_esenciales_mensuales,gastos_totales_del_mes,cuotas_mensuales_deuda,ahorro_mensual,ahorro_total,ratio_ahorro_neto,ratio_endeudamiento_dti,gastos_esenciales_ratio,gastos_estilo_vida_ratio,meses_supervivencia,frecuencia_transacciones_ocio,perfil_financiero
170,1976091.16,0.0,1976091.16,1002843.89,721171.06,1724014.95,771557.32,-519481.11,0.0,-0.2629,0.3904,0.5075,0.3649,0.0,32,En Riesgo
171,744744.91,0.0,744744.91,185234.66,291786.89,477021.55,49358.78,218364.58,4952999.91,0.2932,0.0663,0.2487,0.3918,26.74,3,Saludable
172,1297551.06,0.0,1297551.06,550264.27,94844.12,645108.39,89993.92,562448.75,16055956.66,0.4335,0.0694,0.4241,0.0731,29.18,37,Saludable
173,460664.96,0.0,460664.96,262685.41,122751.27,385436.68,4163.65,71064.63,339313.64,0.1543,0.009,0.5702,0.2665,1.29,8,Saludable
174,1984820.9,0.0,1984820.9,1066897.78,432978.31,1499876.09,1026956.4,-542011.59,0.0,-0.2731,0.5174,0.5375,0.2181,0.0,34,En Riesgo
175,592577.57,0.0,592577.57,131066.25,264964.37,396030.62,100206.09,96340.86,3096392.14,0.1626,0.1691,0.2212,0.4471,23.62,29,Saludable
176,1781699.69,0.0,1781699.69,835902.52,675877.4,1511779.92,657291.17,-387371.4,0.0,-0.2174,0.3689,0.4692,0.3793,0.0,26,En Riesgo
177,1652831.06,0.0,1652831.06,1129585.75,241753.84,1371339.59,395178.06,-113686.59,0.0,-0.0688,0.2391,0.6834,0.1463,0.0,2,En Observación
178,1184983.77,130361.53,1315345.3,878963.9,95464.62,974428.52,254373.99,86542.79,832726.17,0.0658,0.1934,0.6682,0.0726,0.95,20,Saludable
179,821188.88,0.0,821188.88,608843.67,212277.67,821121.34,157071.33,-157003.79,0.0,-0.1912,0.1913,0.7414,0.2585,0.0,27,Saludable
180,1522871.47,206648.9,1729520.37,927005.0,350161.9,1277166.9,136060.43,316293.04,1641781.29,0.1829,0.0787,0.536,0.2025,1.77,15,Saludable
181,2168550.05,424546.08,2593096.13,1642637.44,1078459.53,2721096.97,218748.12,-346748.96,0.0,-0.1337,0.0844,0.6335,0.4159,0.0,5,Saludable
182,2328897.43,0.0,2328897.43,478538.11,791438.26,1269976.37,443117.54,615803.52,9089949.64,0.2644,0.1903,0.2055,0.3398,19.0,37,Saludable
183,1893471.53,0.0,1893471.53,828652.3,753203.17,1581855.47,575299.94,-263683.88,0.0,-0.1393,0.3038,0.4376,0.3978,0.0,30,En Observación
184,2311770.85,0.0,2311770.85,1322936.64,482357.52,1805294.16,82991.75,423484.94,5712297.85,0.1832,0.0359,0.5723,0.2087,4.32,23,Saludable
185,1428196.39,0.0,1428196.39,298728.61,632016.01,930744.62,100578.68,396873.09,4768293.19,0.2779,0.0704,0.2092,0.4425,15.96,14,Saludable
186,1930755.23,331986.94,2262742.17,1132319.49,764817.66,1897137.15,406001.04,-40396.02,0.0,-0.0179,0.1794,0.5004,0.338,0.0,21,Saludable
187,866118.87,0.0,866118.87,632184.46,265619.41,897803.87,63737.11,-95422.11,0.0,-0.1102,0.0736,0.7299,0.3067,0.0,34,Saludable
188,2478711.79,0.0,2478711.79,1151031.09,955859.18,2106890.27,27636.55,344184.97,1478106.24,0.1389,0.0111,0.4644,0.3856,1.28,4,Saludable
189,1855773.04,303439.75,2159212.79,807373.74,641575.74,1448949.48,215949.8,494313.51,93720.74,0.2289,0.1,0.3739,0.2971,0.12,0,Saludable
190,336797.52,0.0,336797.52,158780.79,55462.27,214243.06,137293.25,-14738.79,0.0,-0.0438,0.4076,0.4714,0.1647,0.0,33,En Riesgo
191,627574.47,315873.59,943448.06,602984.67,148055.2,751039.87,194310.43,-1902.24,0.0,-0.002,0.206,0.6391,0.1569,0.0,5,En Observación
192,1738218.58,0.0,1738218.58,1052928.53,151920.66,1204849.19,98886.57,434482.82,2010165.27,0.25,0.0569,0.6058,0.0874,1.91,27,Saludable
193,1718795.93,586397.53,2305193.46,1692712.43,940326.41,2633038.84,425227.45,-753072.83,0.0,-0.3267,0.1845,0.7343,0.4079,0.0,4,Saludable
194,1805743.24,325818.42,2131561.66,1161414.5,259500.16,1420914.66,271910.83,438736.17,13465500.32,0.2058,0.1276,0.5449,0.1217,11.59,4,Saludable
195,958409.16,0.0,958409.16,469637.31,373565.82,843203.13,221473.37,-106267.34,0.0,-0.1109,0.2311,0.49,0.3898,0.0,5,En Observación
196,1401744.27,0.0,1401744.27,255422.84,315161.6,570584.44,690010.6,141149.23,2008134.69,0.1007,0.4923,0.1822,0.2248,7.86,1,En Riesgo
197,1695070.48,0.0,1695070.48,712489.17,239437.78,951926.95,349716.85,393426.68,5355925.73,0.2321,0.2063,0.4203,0.1413,7.52,18,En Observación
198,2055721.38,0.0,2055721.38,409546.58,229600.2,639146.78,219451.49,1197123.11,1399059.96,0.5823,0.1068,0.1992,0.1117,3.42,19,Saludable
199,1278418.9,0.0,1278418.9,270179.58,108561.92,378741.5,82645.85,817031.55,2105608.04,0.6391,0.0646,0.2113,0.0849,7.79,38,Saludable
200,1615696.36,231142.75,1846839.11,600422.93,378823.31,979246.24,971994.92,-104402.05,0.0,-0.0565,0.5263,0.3251,0.2051,0.0,24,En Riesgo
201,672903.84,161044.08,833947.92,198113.41,97474.3,295587.71,34520.67,503839.54,16249800.23,0.6042,0.0414,0.2376,0.1169,82.02,31,Saludable
202,1606374.08,64183.42,1670557.5,555952.84,717553.54,1273506.38,83248.19,313802.93,3909781.36,0.1878,0.0498,0.3328,0.4295,7.03,38,Saludable
203,599473.84,568367.35,1167841.19,315913.76,205158.53,521072.29,344873.76,301895.14,4366711.95,0.2585,0.2953,0.2705,0.1757,13.82,15,En Observación
204,1016949.72,471519.92,1488469.64,549259.17,629364.95,1178624.12,445930.23,-136084.71,0.0,-0.0914,0.2996,0.369,0.4228,0.0,13,En Observación
205,1264600.9,415701.17,1680302.07,1077711.03,618792.63,1696503.66,103122.22,-119323.81,0.0,-0.071,0.0614,0.6414,0.3683,0.0,24,Saludable
206,462723.3,0.0,462723.3,202460.33,97320.91,299781.24,35163.22,127778.84,2268163.93,0.2761,0.076,0.4375,0.2103,11.2,34,Saludable
207,1606403.88,0.0,1606403.88,346375.46,239823.87,586199.33,281041.6,739162.95,15140007.68,0.4601,0.175,0.2156,0.1493,43.71,21,Saludable
208,2424576.91,0.0,2424576.91,379030.87,372161.28,751192.15,552366.3,1121018.46,11729941.66,0.4624,0.2278,0.1563,0.1535,30.95,37,En Observación
209,1818962.07,598621.64,2417583.71,1062921.26,406572.03,1469493.29,393771.73,554318.69,4231529.18,0.2293,0.1629,0.4397,0.1682,3.98,13,Saludable
210,1446452.63,58573.82,1505026.45,877725.96,347629.32,1225355.28,15164.87,264506.3,1301605.71,0.1757,0.0101,0.5832,0.231,1.48,10,Saludable
211,2345829.38,0.0,2345829.38,1078134.6,635166.42,1713301.02,501902.88,130625.48,1385217.11,0.0557,0.214,0.4596,0.2708,1.28,27,En Observación
212,1170281.23,0.0,1170281.23,795625.55,268965.74,1064591.29,75404.64,30285.3,779877.79,0.0259,0.0644,0.6799,0.2298,0.98,36,Saludable
213,523854.51,0.0,523854.51,137342.03,94500.19,231842.22,35953.48,256058.81,4932695.98,0.4888,0.0686,0.2622,0.1804,35.92,39,Saludable
214,1163596.81,211190.95,1374787.76,583894.84,163614.87,747509.71,371319.19,255958.86,3603602.94,0.1862,0.2701,0.4247,0.119,6.17,15,En Observación
215,971836.01,416061.93,1387897.94,633568.36,301584.17,935152.53,288067.23,164678.18,3620660.66,0.1187,0.2076,0.4565,0.2173,5.71,11,En Observación
216,1520807.67,0.0,1520807.67,356139.58,267406.66,623546.24,102882.86,794378.57,4036130.95,0.5223,0.0677,0.2342,0.1758,11.33,35,Saludable
217,1411963.64,0.0,1411963.64,791854.63,305340.21,1097194.84,177884.5,136884.3,2111006.81,0.0969,0.126,0.5608,0.2163,2.67,17,Saludable
218,794655.52,468444.12,1263099.64,618148.68,453476.84,1071625.52,93844.52,97629.6,2274959.61,0.0773,0.0743,0.4894,0.359,3.68,34,Saludable
219,2109744.04,431388.14,2541132.18,1214183.36,1133116.99,2347300.35,39038.06,154793.77,3924624.13,0.0609,0.0154,0.4778,0.4459,3.23,22,Saludable
220,2196839.18,519174.28,2716013.46,598695.24,1017841.16,1616536.4,1282728.06,-183251.0,0.0,-0.0675,0.4723,0.2204,0.3748,0.0,39,En Riesgo
221,606316.93,124165.63,730482.56,135588.3,139029.96,274618.26,168606.54,287257.76,1617542.44,0.3932,0.2308,0.1856,0.1903,11.93,32,En Observación
222,2468074.26,0.0,2468074.26,511224.8,1073880.82,1585105.62,1352804.7,-469836.06,0.0,-0.1904,0.5481,0.2071,0.4351,0.0,15,En Riesgo
223,621735.58,148532.84,770268.42,505398.83,159507.42,664906.25,16426.55,88935.62,245439.36,0.1155,0.0213,0.6561,0.2071,0.49,5,Saludable
224,1186271.7,0.0,1186271.7,672405.1,475608.29,1148013.39,528470.86,-490212.55,0.0,-0.4132,0.4455,0.5668,0.4009,0.0,29,En Riesgo
225,1696649.2,0.0,1696649.2,1119896.62,624826.99,1744723.61,101217.65,-149292.06,0.0,-0.088,0.0597,0.6601,0.3683,0.0,35,Saludable
226,1571454.01,0.0,1571454.01,693329.82,294641.1,987970.92,247129.04,336354.05,2291724.92,0.214,0.1573,0.4412,0.1875,3.31,10,Saludable
227,1270829.09,574819.06,1845648.15,500892.16,600641.74,1101533.9,627048.56,117065.69,1026782.34,0.0634,0.3397,0.2714,0.3254,2.05,16,En Observación
228,481325.17,0.0,481325.17,259601.15,34036.87,293638.02,45167.86,142519.29,180458.65,0.2961,0.0938,0.5393,0.0707,0.7,13,Saludable
229,1348974.76,135714.52,1484689.28,828441.23,79749.76,908190.99,154911.84,421586.45,729686.92,0.284,0.1043,0.558,0.0537,0.88,24,Saludable
230,496528.38,0.0,496528.38,105224.75,97828.34,203053.09,249923.58,43551.71,914791.32,0.0877,0.5033,0.2119,0.197,8.69,4,En Riesgo
231,1467118.21,390012.13,1857130.34,768962.74,629516.69,1398479.43,320737.77,137913.14,1613992.7,0.0743,0.1727,0.4141,0.339,2.1,6,Saludable
232,608028.91,438005.49,1046034.4,377536.18,231963.88,609500.06,124124.01,312410.33,6414991.96,0.2987,0.1187,0.3609,0.2218,16.99,18,Saludable
233,2013733.24,0.0,2013733.24,1326517.09,631027.77,1957544.86,458451.28,-402262.9,0.0,-0.1998,0.2277,0.6587,0.3134,0.0,15,En Observación
234,1388752.98,299749.52,1688502.5,854986.51,441230.36,1296216.87,247626.56,144659.07,3638050.15,0.0857,0.1467,0.5064,0.2613,4.26,23,Saludable
235,1501983.69,282608.78,1784592.47,1324916.71,141333.9,1466250.61,631631.05,-313289.19,0.0,-0.1756,0.3539,0.7424,0.0792,0.0,18,En Observación
236,1682855.53,0.0,1682855.53,671895.55,556561.14,1228456.69,20807.11,433591.73,3677289.81,0.2577,0.0124,0.3993,0.3307,5.47,13,Saludable
237,2443489.45,196050.18,2639539.63,1324685.42,937801.12,2262486.54,257291.58,119761.51,2116040.44,0.0454,0.0975,0.5019,0.3553,1.6,15,Saludable
238,489668.16,0.0,489668.16,206651.28,143733.75,350385.03,22717.42,116565.71,2766676.33,0.2381,0.0464,0.422,0.2935,13.39,10,Saludable
239,1392108.45,310333.71,1702442.16,1095528.55,261663.29,1357191.84,446833.96,-101583.64,0.0,-0.0597,0.2625,0.6435,0.1537,0.0,21,En Observación
240,2075637.26,38323.19,2113960.45,1220587.97,593305.56,1813893.53,24438.45,275628.47,3548918.38,0.1304,0.0116,0.5774,0.2807,2.91,16,Saludable
241,2001323.7,0.0,2001323.7,1109678.47,192394.13,1302072.6,222381.07,476870.03,495397.99,0.2383,0.1111,0.5545,0.0961,0.45,9,Saludable
242,693714.05,0.0,693714.05,118776.43,257538.7,376315.13,74298.94,243099.98,4712466.12,0.3504,0.1071,0.1712,0.3712,39.68,4,Saludable
243,1557379.12,403995.43,1961374.55,356192.07,273168.53,629360.6,785003.31,547010.64,16989001.36,0.2789,0.4002,0.1816,0.1393,47.7,19,En Riesgo
244,1020062.03,0.0,1020062.03,157886.74,132881.91,290768.65,86267.68,643025.7,10190911.9,0.6304,0.0846,0.1548,0.1303,64.55,12,Saludable
245,1911419.34,0.0,1911419.34,1199576.43,210689.16,1410265.59,293568.28,207585.47,1599436.58,0.1086,0.1536,0.6276,0.1102,1.33,21,Saludable
246,303216.49,0.0,303216.49,199942.04,103362.26,303304.3,4727.86,-4815.67,0.0,-0.0159,0.0156,0.6594,0.3409,0.0,17,Saludable
247,504658.6,0.0,504658.6,347393.09,130153.31,477546.4,53053.26,-25941.06,0.0,-0.0514,0.1051,0.6884,0.2579,0.0,25,Saludable
248,464627.07,0.0,464627.07,190956.95,202432.12,393389.07,87883.58,-16645.58,0.0,-0.0358,0.1891,0.411,0.4357,0.0,20,Saludable
249,1296067.28,566132.81,1862200.09,431410.51,666776.85,1098187.36,30439.38,733573.35,1984705.27,0.3939,0.0163,0.2317,0.3581,4.6,13,Saludable
250,1294217.57,0.0,1294217.57,856111.09,111520.6,967631.69,253190.69,73395.19,608423.44,0.0567,0.1956,0.6615,0.0862,0.71,9,Saludable
251,500668.39,213445.65,714114.04,327118.36,229140.16,556258.52,27868.31,129987.21,2059531.36,0.182,0.039,0.4581,0.3209,6.3,15,Saludable
252,508395.61,476285.85,984681.46,219457.88,73523.87,292981.75,115349.52,576350.19,16287345.76,0.5853,0.1171,0.2229,0.0747,74.22,5,Saludable
253,1581112.36,487648.25,2068760.61,337373.71,156788.91,494162.62,687237.9,887360.09,15853726.49,0.4289,0.3322,0.1631,0.0758,46.99,2,En Observación
254,2373017.45,554479.04,2927496.49,1199962.74,994682.33,2194645.07,217861.24,514990.18,9219426.08,0.1759,0.0744,0.4099,0.3398,7.68,28,Saludable
255,2243532.36,371505.93,2615038.29,777897.71,439436.43,1217334.14,161606.31,1236097.84,2928349.83,0.4727,0.0618,0.2975,0.168,3.76,33,Saludable
256,848125.06,0.0,848125.06,403872.07,49031.8,452903.87,217972.89,177248.3,1776154.68,0.209,0.257,0.4762,0.0578,4.4,20,En Observación
257,1154438.8,191326.54,1345765.34,378714.67,549483.95,928198.62,157159.48,260407.24,8624111.3,0.1935,0.1168,0.2814,0.4083,22.77,10,Saludable
258,520295.54,0.0,520295.54,161248.02,195898.59,357146.61,71586.9,91562.03,2839531.01,0.176,0.1376,0.3099,0.3765,17.61,22,Saludable
259,2357453.27,0.0,2357453.27,599328.79,340935.96,940264.75,614625.23,802563.29,12530249.01,0.3404,0.2607,0.2542,0.1446,20.91,36,En Observación
260,1539934.27,0.0,1539934.27,404910.62,685582.56,1090493.18,203647.0,245794.09,406801.32,0.1596,0.1322,0.2629,0.4452,1.0,14,Saludable
261,343841.58,0.0,343841.58,120014.6,101658.11,221672.71,69151.31,53017.56,585953.67,0.1542,0.2011,0.349,0.2957,4.88,9,En Observación
262,1590540.19,0.0,1590540.19,977577.65,618071.76,1595649.41,625714.84,-630824.06,0.0,-0.3966,0.3934,0.6146,0.3886,0.0,19,En Riesgo
263,1009727.05,0.0,1009727.05,595144.45,226933.48,822077.93,225249.91,-37600.79,0.0,-0.0372,0.2231,0.5894,0.2247,0.0,39,En Observación
264,2031381.94,353370.09,2384752.03,608614.9,411916.53,1020531.43,1149945.88,214274.72,4774665.26,0.0899,0.4822,0.2552,0.1727,7.85,36,En Riesgo
265,371242.03,0.0,371242.03,260843.16,162237.47,423080.63,12300.84,-64139.44,0.0,-0.1728,0.0331,0.7026,0.437,0.0,20,Saludable
266,669352.32,0.0,669352.32,136036.23,223286.78,359323.01,64167.73,245861.58,797371.03,0.3673,0.0959,0.2032,0.3336,5.86,16,Saludable
267,2031444.01,0.0,2031444.01,363401.92,457660.07,821061.99,819697.39,390684.63,3150758.5,0.1923,0.4035,0.1789,0.2253,8.67,30,En Riesgo
268,2035205.99,0.0,2035205.99,1231189.98,285403.23,1516593.21,137769.43,380843.35,1411485.24,0.1871,0.0677,0.6049,0.1402,1.15,21,Saludable
269,674231.45,439191.05,1113422.5,532469.54,455667.79,988137.33,15549.73,109735.44,140582.96,0.0986,0.014,0.4782,0.4092,0.26,10,Saludable
270,1636098.78,0.0,1636098.78,297988.31,298486.31,596474.62,717475.3,322148.86,5603412.19,0.1969,0.4385,0.1821,0.1824,18.8,19,En Riesgo
271,822606.23,343061.88,1165668.11,762245.18,129897.36,892142.54,249617.21,23908.36,247819.72,0.0205,0.2141,0.6539,0.1114,0.33,1,En Observación
272,755296.56,0.0,755296.56,556075.47,180839.34,736914.81,315514.65,-297132.9,0.0,-0.3934,0.4177,0.7362,0.2394,0.0,24,En Riesgo
273,706738.69,0.0,706738.69,262653.07,161355.59,424008.66,27912.22,254817.81,552446.47,0.3606,0.0395,0.3716,0.2283,2.1,6,Saludable
274,488556.09,324869.4,813425.49,595771.8,232550.68,828322.48,67547.09,-82444.08,0.0,-0.1014,0.083,0.7324,0.2859,0.0,30,Saludable
275,1559971.44,179311.27,1739282.71,672898.25,681061.24,1353959.49,409919.35,-24596.13,0.0,-0.0141,0.2357,0.3869,0.3916,0.0,28,En Observación
276,680333.74,0.0,680333.74,498888.0,254025.93,752913.93,12877.29,-85457.48,0.0,-0.1256,0.0189,0.7333,0.3734,0.0,38,Saludable
277,867349.99,0.0,867349.99,605847.75,66616.63,672464.38,50492.67,144392.94,2586667.58,0.1665,0.0582,0.6985,0.0768,4.27,39,Saludable
278,1592667.39,0.0,1592667.39,346423.16,174965.55,521388.71,135359.35,935919.33,3564824.0,0.5876,0.085,0.2175,0.1099,10.29,18,Saludable
279,2208445.59,0.0,2208445.59,1494534.94,343754.83,1838289.77,216909.44,153246.38,1903954.33,0.0694,0.0982,0.6767,0.1557,1.27,25,Saludable
280,385321.57,0.0,385321.57,134437.33,55883.85,190321.18,43103.02,151897.37,2560027.3,0.3942,0.1119,0.3489,0.145,19.04,17,Saludable
281,2154262.45,0.0,2154262.45,1208349.97,945718.32,2154068.29,420236.43,-420042.27,0.0,-0.195,0.1951,0.5609,0.439,0.0,38,Saludable
282,1720220.59,126834.3,1847054.89,1190208.3,639779.03,1829987.33,210423.87,-193356.31,0.0,-0.1047,0.1139,0.6444,0.3464,0.0,32,Saludable
283,1187447.31,0.0,1187447.31,551654.45,329479.72,881134.17,30945.59,275367.55,113270.14,0.2319,0.0261,0.4646,0.2775,0.21,23,Saludable
284,1850194.68,494103.78,2344298.46,1062144.96,713051.02,1775195.98,362392.16,206710.32,1431758.21,0.0882,0.1546,0.4531,0.3042,1.35,37,Saludable
285,1512934.19,502592.26,2015526.45,615130.52,770632.67,1385763.19,629676.18,87.08,1204.95,0.0,0.3124,0.3052,0.3823,0.0,14,En Observación
286,1724235.76,0.0,1724235.76,537013.48,368646.57,905660.05,5186.25,813389.46,23558406.92,0.4717,0.003,0.3115,0.2138,43.87,38,Saludable
287,2061902.58,365006.33,2426908.91,1737188.63,813247.94,2550436.57,1271386.58,-1394914.24,0.0,-0.5748,0.5239,0.7158,0.3351,0.0,19,En Riesgo
288,1789831.54,0.0,1789831.54,694976.42,162740.15,857716.57,137328.51,794786.46,15709305.33,0.4441,0.0767,0.3883,0.0909,22.6,19,Saludable
289,1805708.9,0.0,1805708.9,635194.57,289984.75,925179.32,837902.92,42626.66,469389.9,0.0236,0.464,0.3518,0.1606,0.74,33,En Riesgo
290,1984043.65,0.0,1984043.65,1256411.3,735972.06,1992383.36,494184.7,-502524.41,0.0,-0.2533,0.2491,0.6333,0.3709,0.0,16,En Observación
291,2295205.44,0.0,2295205.44,1358851.72,650023.94,2008875.66,625219.02,-338889.24,0.0,-0.1477,0.2724,0.592,0.2832,0.0,30,En Observación
292,2294358.31,0.0,2294358.31,1042530.98,890595.78,1933126.76,289308.96,71922.59,176498.72,0.0313,0.1261,0.4544,0.3882,0.17,35,Saludable
293,1978420.08,407827.42,2386247.5,838478.4,204548.97,1043027.37,624317.49,718902.64,4583179.64,0.3013,0.2616,0.3514,0.0857,5.47,18,En Observación
294,1320273.38,32206.17,1352479.55,717677.11,381568.62,1099245.73,125913.42,127320.4,2423787.78,0.0941,0.0931,0.5306,0.2821,3.38,26,Saludable
295,418936.34,0.0,418936.34,97368.83,54511.43,151880.26,25713.8,241342.28,2595185.57,0.5761,0.0614,0.2324,0.1301,26.65,5,Saludable
296,1372677.86,0.0,1372677.86,351535.33,417018.97,768554.3,970.52,603153.04,12294003.87,0.4394,0.0007,0.2561,0.3038,34.97,5,Saludable
297,584693.11,0.0,584693.11,238347.71,129573.95,367921.66,88113.47,128657.98,4852809.29,0.22,0.1507,0.4076,0.2216,20.36,33,Saludable
298,719268.76,0.0,719268.76,378344.11,107551.72,485895.83,74824.6,158548.33,1513059.66,0.2204,0.104,0.526,0.1495,4.0,2,Saludable
299,956044.96,436699.15,1392744.11,707266.03,257844.37,965110.4,537158.02,-109524.31,0.0,-0.0786,0.3857,0.5078,0.1851,0.0,25,En Riesgo
300,342074.41,590927.71,933002.12,258174.88,54828.16,313003.04,157186.88,462812.2,5477832.12,0.496,0.1685,0.2767,0.0588,21.22,34,Saludable
301,1670896.51,0.0,1670896.51,298716.57,155803.38,454519.95,209560.5,1006816.06,2362908.82,0.6026,0.1254,0.1788,0.0932,7.91,9,Saludable
302,752088.81,0.0,752088.81,117012.03,164217.53,281229.56,171511.13,299348.12,5004375.13,0.398,0.228,0.1556,0.2183,42.77,32,En Observación
303,1881285.69,68407.53,1949693.22,416762.96,252404.68,669167.64,58417.5,1222108.08,17511060.81,0.6268,0.03,0.2138,0.1295,42.02,2,Saludable
304,1505905.28,0.0,1505905.28,847707.74,364829.01,1212536.75,52971.41,240397.12,3700299.34,0.1596,0.0352,0.5629,0.2423,4.37,5,Saludable
305,2014957.69,434145.75,2449103.44,1696904.5,753674.15,2450578.65,167794.65,-169269.86,0.0,-0.0691,0.0685,0.6929,0.3077,0.0,18,Saludable
306,1092472.26,0.0,1092472.26,443103.61,105271.09,548374.7,139494.38,404603.18,5616503.66,0.3704,0.1277,0.4056,0.0964,12.68,28,Saludable
307,2401196.14,439840.77,2841036.91,1061335.51,531527.01,1592862.52,596724.39,651450.0,11818006.49,0.2293,0.21,0.3736,0.1871,11.14,26,En Observación
308,1727462.26,0.0,1727462.26,376299.9,567415.99,943715.89,15196.42,768549.95,16704970.99,0.4449,0.0088,0.2178,0.3285,44.39,28,Saludable
309,698773.23,215159.35,913932.58,152891.54,295918.26,448809.8,304032.31,161090.47,438920.88,0.1763,0.3327,0.1673,0.3238,2.87,2,En Observación
310,439339.3,0.0,439339.3,69159.09,174563.96,243723.05,34585.97,161030.28,6016183.43,0.3665,0.0787,0.1574,0.3973,86.99,33,Saludable
311,1450826.99,0.0,1450826.99,300531.97,456553.93,757085.9,54096.33,639644.76,15504963.64,0.4409,0.0373,0.2071,0.3147,51.59,39,Saludable
312,420045.45,0.0,420045.45,102556.79,163623.76,266180.55,53673.69,100191.21,1019296.45,0.2385,0.1278,0.2442,0.3895,9.94,3,Saludable
313,1415244.53,0.0,1415244.53,533805.55,533322.62,1067128.17,16734.69,331381.67,3475436.0,0.2342,0.0118,0.3772,0.3768,6.51,31,Saludable
314,1939525.72,242063.8,2181589.52,374140.77,588242.74,962383.51,586340.35,632865.66,16347325.21,0.2901,0.2688,0.1715,0.2696,43.69,29,En Observación
315,2390781.29,32565.13,2423346.42,687626.65,561692.91,1249319.56,588785.2,585241.66,6072880.48,0.2415,0.243,0.2838,0.2318,8.83,14,En Observación
316,304833.29,380196.71,685030.0,431533.02,184325.29,615858.31,38418.92,30752.77,880978.3,0.0449,0.0561,0.6299,0.2691,2.04,26,Saludable
317,535315.31,0.0,535315.31,140534.21,225949.37,366483.58,116996.86,51834.87,135342.87,0.0968,0.2186,0.2625,0.4221,0.96,40,En Observación
318,2142425.72,0.0,2142425.72,1313922.07,493190.34,1807112.41,211604.18,123709.13,811851.06,0.0577,0.0988,0.6133,0.2302,0.62,27,Saludable
319,2145395.44,0.0,2145395.44,976154.37,897772.74,1873927.11,57025.4,214442.93,2513699.67,0.1,0.0266,0.455,0.4185,2.58,20,Saludable
320,1409042.26,587700.46,1996742.72,1396813.67,708743.55,2105557.22,81945.09,-190759.59,0.0,-0.0955,0.041,0.6995,0.3549,0.0,32,Saludable
321,957608.9,0.0,957608.9,638174.06,320559.33,958733.39,234506.44,-235630.93,0.0,-0.2461,0.2449,0.6664,0.3347,0.0,8,En Observación
322,2458938.09,0.0,2458938.09,1782719.96,618564.01,2401283.97,256090.52,-198436.4,0.0,-0.0807,0.1041,0.725,0.2516,0.0,26,Saludable
323,1783335.67,0.0,1783335.67,838777.1,715101.36,1553878.46,112988.5,116468.71,78083.29,0.0653,0.0634,0.4703,0.401,0.09,17,Saludable
324,1950407.04,171969.33,2122376.37,637427.31,818712.47,1456139.78,219855.33,446381.26,5130856.59,0.2103,0.1036,0.3003,0.3858,8.05,35,Saludable
325,2202651.27,0.0,2202651.27,1072167.67,319468.55,1391636.22,594326.55,216688.5,4689072.66,0.0984,0.2698,0.4868,0.145,4.37,20,En Observación
326,2424833.07,446201.98,2871035.05,780497.58,1141351.23,1921848.81,621463.04,327723.2,5281977.67,0.1141,0.2165,0.2719,0.3975,6.77,37,En Observación
327,1502553.3,0.0,1502553.3,925104.11,654686.41,1579790.52,66302.66,-143539.88,0.0,-0.0955,0.0441,0.6157,0.4357,0.0,24,Saludable
328,389395.31,158543.76,547939.07,135098.38,212822.65,347921.03,463.98,199554.06,5585090.05,0.3642,0.0008,0.2466,0.3884,41.34,40,Saludable
329,1654339.09,0.0,1654339.09,735073.42,461677.73,1196751.15,88859.25,368728.69,881976.14,0.2229,0.0537,0.4443,0.2791,1.2,32,Saludable
330,650615.08,0.0,650615.08,255073.8,123461.49,378535.29,86212.69,185867.1,5445939.81,0.2857,0.1325,0.3921,0.1898,21.35,30,Saludable
331,2492588.38,0.0,2492588.38,1841224.98,133407.02,1974632.0,540518.01,-22561.63,0.0,-0.0091,0.2169,0.7387,0.0535,0.0,20,En Observación
332,1139019.74,0.0,1139019.74,248334.11,173855.67,422189.78,175074.01,541755.95,7601871.39,0.4756,0.1537,0.218,0.1526,30.61,31,Saludable
333,396473.65,0.0,396473.65,105266.7,101321.97,206588.67,56391.15,133493.83,12644.62,0.3367,0.1422,0.2655,0.2556,0.12,40,Saludable
334,2001880.99,0.0,2001880.99,809812.25,183313.69,993125.94,511303.29,497451.76,13266696.85,0.2485,0.2554,0.4045,0.0916,16.38,9,En Observación
335,352256.48,0.0,352256.48,60845.89,27933.66,88779.55,66148.91,197328.02,4315628.88,0.5602,0.1878,0.1727,0.0793,70.93,28,Saludable
336,1686477.98,0.0,1686477.98,270063.44,538525.29,808588.73,415233.5,462655.75,9078643.67,0.2743,0.2462,0.1601,0.3193,33.62,4,En Observación
337,1086940.31,0.0,1086940.31,352062.1,352550.68,704612.78,98895.13,283432.4,2749250.09,0.2608,0.091,0.3239,0.3244,7.81,10,Saludable
338,1473629.08,234595.54,1708224.62,1073603.4,458299.22,1531902.62,801707.84,-625385.84,0.0,-0.3661,0.4693,0.6285,0.2683,0.0,23,En Riesgo
339,2406261.63,524860.16,2931121.79,688298.68,195532.95,883831.63,251806.19,1795483.97,13133129.95,0.6126,0.0859,0.2348,0.0667,19.08,22,Saludable
340,765821.27,0.0,765821.27,506112.37,81929.13,588041.5,21135.83,156643.94,3066982.53,0.2045,0.0276,0.6609,0.107,6.06,3,Saludable
